dataset,feature,feature_value,prediction,pdp_n
Daily bike rentals,windspeed,0.22037998571428574,4417.417232322582,50
Daily bike rentals,windspeed,0.23027940000000002,4411.15746617251,50
Daily bike rentals,windspeed,0.2401788142857143,4397.291414114346,50
Daily bike rentals,windspeed,0.2500782285714286,4394.199370279808,50
Daily bike rentals,windspeed,0.25997764285714287,4392.629514409567,50
Daily bike rentals,windspeed,0.26987705714285715,4376.6166516303465,50
Daily bike rentals,windspeed,0.2797764714285714,4361.6615393488955,50
Daily bike rentals,windspeed,0.28967588571428576,4311.796292557713,50
Daily bike rentals,windspeed,0.29957530000000004,4296.817793778492,50
Daily bike rentals,windspeed,0.3094747142857143,4275.342298188106,50
Daily bike rentals,windspeed,0.3193741285714286,4248.796278063995,50
Daily bike rentals,windspeed,0.3292735428571429,4220.042452395163,50
Daily bike rentals,windspeed,0.33917295714285717,4197.195476386006,50
Daily bike rentals,windspeed,0.34907237142857145,4121.421927185206,50
Daily bike rentals,windspeed,0.35897178571428573,4020.038487746495,50
Daily bike rentals,windspeed,0.3688712,3987.0700967766143,50
Daily bike rentals,windspeed,0.3787706142857143,3979.813432427408,50
Daily bike rentals,windspeed,0.38867002857142857,3981.652428427408,50
Daily bike rentals,windspeed,0.3985694428571429,3980.3367804274076,50
Daily bike rentals,windspeed,0.4084688571428572,3981.6986777607412,50
Daily bike rentals,windspeed,0.41836827142857147,3981.9179224274076,50
Daily bike rentals,windspeed,0.42826768571428575,3982.386409094074,50
Daily bike rentals,windspeed,0.43816710000000003,3982.954755760741,50
Daily bike rentals,windspeed,0.4480665142857143,3983.023087760741,50
Daily bike rentals,windspeed,0.4579659285714286,3983.023087760741,50
Daily bike rentals,windspeed,0.4678653428571429,3983.008367760741,50
Daily bike rentals,windspeed,0.47776475714285715,3983.008367760741,50
Daily bike rentals,windspeed,0.48766417142857144,3983.008367760741,50
Daily bike rentals,windspeed,0.4975635857142857,3983.008367760741,50
Daily bike rentals,windspeed,0.507463,3983.008367760741,50
