dataset,feature_x,feature_y,feature_x_value,feature_y_value,prediction,pdp_n
Daily bike rentals,temp,hum,0.29320357499999994,0.6483333333333333,3817.9237931782172,50
Daily bike rentals,temp,hum,0.29320357499999994,0.6888541666666667,3721.0490163411578,50
Daily bike rentals,temp,hum,0.29320357499999994,0.729375,3636.7044065465316,50
Daily bike rentals,temp,hum,0.29320357499999994,0.7698958333333333,3530.4103253330118,50
Daily bike rentals,temp,hum,0.29320357499999994,0.8104166666666667,3388.9339372997642,50
Daily bike rentals,temp,hum,0.29320357499999994,0.8509375,3204.5692092009176,50
Daily bike rentals,temp,hum,0.29320357499999994,0.8914583333333334,3148.4765714774726,50
Daily bike rentals,temp,hum,0.29320357499999994,0.9319791666666667,3096.688243513639,50
Daily bike rentals,temp,hum,0.29320357499999994,0.9725,3071.246960331099,50
Daily bike rentals,temp,hum,0.3266426,0,3885.6829697309554,50
Daily bike rentals,temp,hum,0.3266426,0.04052083333333333,3885.6829697309554,50
Daily bike rentals,temp,hum,0.3266426,0.08104166666666666,3885.6829697309554,50
Daily bike rentals,temp,hum,0.3266426,0.12156249999999999,3890.739607397622,50
Daily bike rentals,temp,hum,0.3266426,0.16208333333333333,3898.951379397622,50
Daily bike rentals,temp,hum,0.3266426,0.20260416666666667,3900.998175397622,50
Daily bike rentals,temp,hum,0.3266426,0.24312499999999998,3902.557663397622,50
Daily bike rentals,temp,hum,0.3266426,0.2836458333333333,3903.220395397622,50
Daily bike rentals,temp,hum,0.3266426,0.32416666666666666,3904.0209628261932,50
Daily bike rentals,temp,hum,0.3266426,0.3646875,3906.5673788261934,50
Daily bike rentals,temp,hum,0.3266426,0.40520833333333334,3899.347954159527,50
Daily bike rentals,temp,hum,0.3266426,0.4457291666666667,3898.877607515426,50
Daily bike rentals,temp,hum,0.3266426,0.48624999999999996,3916.587850675176,50
Daily bike rentals,temp,hum,0.3266426,0.5267708333333333,3929.057639129144,50
Daily bike rentals,temp,hum,0.3266426,0.5672916666666666,3914.610041337197,50
Daily bike rentals,temp,hum,0.3266426,0.6078125,3912.8052848459156,50
Daily bike rentals,temp,hum,0.3266426,0.6483333333333333,3865.4990331651516,50
Daily bike rentals,temp,hum,0.3266426,0.6888541666666667,3773.885764654211,50
Daily bike rentals,temp,hum,0.3266426,0.729375,3693.9053477344873,50
Daily bike rentals,temp,hum,0.3266426,0.7698958333333333,3592.1441931876343,50
Daily bike rentals,temp,hum,0.3266426,0.8104166666666667,3448.0880407734344,50
Daily bike rentals,temp,hum,0.3266426,0.8509375,3274.638841103159,50
Daily bike rentals,temp,hum,0.3266426,0.8914583333333334,3215.561487379714,50
Daily bike rentals,temp,hum,0.3266426,0.9319791666666667,3156.741860082547,50
Daily bike rentals,temp,hum,0.3266426,0.9725,3130.977525566674,50
